Var2,AU,CEu,NAm,NZ,SAm,Sbo,Slu1,Slu2
AU,NA,0.10375644353949273,0.10415720404120868,0.10254605116389963,0.10214144415943732,0.14067920528962086,0.12609511542341326,0.13062677187546856
CEu,0.10375644353949273,NA,0.10593286468358361,0.10560221842733764,0.10420355755656076,0.14220019584474344,0.12787844096162368,0.13226196276706614
"NAm",0.10415720404120868,0.10593286468358361,NA,0.10595933658792463,0.10463065626000156,0.14272003742816183,0.12837659703795892,0.13276333251798933
NZ,0.10254605116389963,0.10560221842733764,0.10595933658792463,NA,0.10407836885840524,0.14243452778383173,0.12801587586262245,0.13241461752847888
SAm,0.10214144415943732,0.10420355755656076,0.10463065626000156,0.10407836885840524,NA,0.14088229341396236,0.12646085432957507,0.1309455192603599
Sbo,0.14067920528962086,0.14220019584474344,0.14272003742816183,0.14243452778383173,0.14088229341396236,NA,0.0891736694232383,0.09704925907349833
Slu1,0.12609511542341326,0.12787844096162368,0.12837659703795892,0.12801587586262245,0.12646085432957507,0.0891736694232383,NA,0.08193607028031279
Slu2,0.13062677187546856,0.13226196276706614,0.13276333251798933,0.13241461752847888,0.1309455192603599,0.09704925907349833,0.08193607028031279,NA
