Var2,AU,CEu,NAm,NZ,SAm,Sbo,Slu1,Slu2
AU,NA,0.026058830060052576,0.028264122452114866,0.04215328627446639,0.049939842139564615,0.20216662783583045,0.17445405500867753,0.17170460682228353
CEu,0.026058830060052576,NA,0.004232340380428746,0.020254171392472726,0.024648359191411204,0.1339358251320024,0.11801744078439093,0.11460019694985732
"NAm",0.028264122452114866,0.004232340380428746,NA,0.021971894398013163,0.0267681838269503,0.14711539699065232,0.1287626271394384,0.12516057374893458
NZ,0.04215328627446639,0.020254171392472726,0.021971894398013163,NA,0.04429927345547102,0.19599643178224369,0.1694835358790357,0.16601542323984766
SAm,0.049939842139564615,0.024648359191411204,0.0267681838269503,0.04429927345547102,NA,0.1897778031618247,0.16450363249461752,0.1617546384708648
Sbo,0.20216662783583045,0.1339358251320024,0.14711539699065232,0.19599643178224369,0.1897778031618247,NA,0.17661552611723877,0.18625705933680728
Slu1,0.17445405500867753,0.11801744078439093,0.1287626271394384,0.1694835358790357,0.16450363249461752,0.17661552611723877,NA,0.13736799011864084
Slu2,0.17170460682228353,0.11460019694985732,0.12516057374893458,0.16601542323984766,0.1617546384708648,0.18625705933680728,0.13736799011864084,NA
