rowname,AU,CEu,NAm,NZ,SAm,Sbo,Slu1,Slu2
AU,0,0.2507245251515036,0.2578507948166552,0.29002741757808326,0.3295479145361318,0.6934417409197118,0.6704901636133334,0.6549752754885628
CEu,0.2507245251515036,0,0.12979803817275964,0.21243902833719633,0.24468615764831453,0.6639353557025774,0.6363238047720071,0.6210799664842713
"NAm",0.2578507948166552,0.12979803817275964,0,0.21992435776267003,0.25244261398943546,0.665348988071057,0.6380667644433013,0.6228599327668686
NZ,0.29002741757808326,0.21243902833719633,0.21992435776267003,0,0.30096389389811823,0.6806232398906561,0.6560488334749022,0.6405601074856041
SAm,0.3295479145361318,0.24468615764831453,0.25244261398943546,0.30096389389811823,0,0.6904610725629409,0.6674774605331706,0.651906843032923
Sbo,0.6934417409197118,0.6639353557025774,0.665348988071057,0.6806232398906561,0.6904610725629409,0,0.6503890183746618,0.6470800157194657
Slu1,0.6704901636133334,0.6363238047720071,0.6380667644433013,0.6560488334749022,0.6674774605331706,0.6503890183746618,0,0.5966884229986351
Slu2,0.6549752754885628,0.6210799664842713,0.6228599327668686,0.6405601074856041,0.651906843032923,0.6470800157194657,0.5966884229986351,0
